Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,1:17:09.00,582,Michael-Lucien Bergeron,M,CAN,21/10/2018,Toronto Waterfront Half Marathon,https://runningmagazine.ca/sections/runs-races/bergeron-breaks-half-marathon-joggling-record/
2,1:17:11.00,581,Graydon Snider,M,CAN,21/10/2018,Toronto Waterfront Half Marathon,https://runningmagazine.ca/sections/runs-races/bergeron-breaks-half-marathon-joggling-record/
3,1:17:49.00,563,Jean-Marc Doiron,M,CAN,08/09/2024,Rimouski Half Marathon,https://sportstats.one/results/142048/1214  https://www.strava.com/activities/12358680496
4,1:19:00.00,529,Michel Lauzière,M,CAN,1982,Montreal University Half Marathon,Email exchange
5,1:20:27.00,490,Chris Edwin,M,GBR,08/05/2022,Leeds Half Marathon,
6,1:20:40.00,484,Michal Kapral,M,CAN,19/10/2014,Toronto Waterfront Half Marathon,
7,1:22:37.00,433,Samuel Dean,M,USA,19/10/2024,Haunted Hustle Half Marathon,https://www.strava.com/activities/12694368106
8,1:25:10.00,371,Tyler Wishau,M,USA,18/10/2015,IMT Des Moines Half Marathon,https://www.onlineraceresults.com/race/view_race.php?race_id=48212&re_NO=e.g.%2C+1946&re_FN=tyler&re_LN=e.g.%2C+Desch&re_CITY=&re_STATE=&re_DIVISION=&submit_action=select_result&race_id=48212#results
9,1:26:55.00,331,Jordan Evans,M,GBR,30/09/2018,Cheltenham Half Marathon,
10,1:27:48.00,312,Scott Jenkins,M,GBR,28/05/2023,Edinburgh Half Marathon,https://www.strava.com/activities/9154792920
11,1:28:47.00,292,James McDiarmid,M,GBR,10/03/2024,Inverness Half Marathon,https://invernesshalfmarathon.co.uk/results/1/2024/
12,1:29:56.00,268,Tim Ebersole,M,USA,12/09/2020,"Harrisburg Half Marathon, PA",https://falconracetiming.com/racetimes/Harrisburg%20Half%20Overall%202020.htm
13,1:32:01.00,228,Dominic Lodge,M,GBR,17/11/2024,Watchtree Half Marathon,https://www.strava.com/activities/12920882173  https://docs.google.com/spreadsheets/d/1xG136D94wNXM98BcByv_nZc7rszIR8WUljIfApThARk/edit?fbclid=IwY2xjawGpmTJleHRuA2FlbQIxMQABHWp8OfxOUxsaM-ty_Qqemjc3TGKVDC3alC-gNi33uGxyg1BPMsIXyaKgSw_aem_G64t2d7Le1K2E2_3y2MXPA
14,1:32:12.00,225,Daniel Raum,M,AUT,12/09/2021,"Auffahrtslauf St. Gallen Half Marathon, Switzerland",https://my.raceresult.com/163389/
15,1:36:15.00,157,Ivan Schleppenbach,M,USA,21/06/2014,Garry Bjorklund Half Marathon,https://www.mtecresults.com/runner/show?race=2165&rid=11928
16,1:44:35.00,56,Jarek Widomski,M,POL,15/08/2019,Aleksandrow Zodzki Half Marathon,
17,1:45:28.00,48,Jake Lodge,M,GBR,22/02/2023,Time Trial,https://www.strava.com/activities/8602663011
18,1:46:03.00,43,John Dombach,M,USA,02/03/2024,Tom King Classic Half Marathon,https://www.strava.com/activities/10875180286
19,1:48:43.00,25,Scott Boehret,M,USA,23/04/2023,St. Luke's Half Marathon,https://runsignup.com/Race/Results/11383/?customResultsPageId=61903&segmentId=406332&row=261
20,1:50:51.00,13,Necmi Oztoprak,M,TUR,20/10/2019,Amsterdam,https://www.instagram.com/p/B32bLemgnSv/
21,1:51:03.00,12,David Tate,M,USA,24/07/2024,"Deseret News Half Marathon, Utah","https://www.brooksee.com/des/results?sort=&race=167301&date=&event=&gender=&division=&search=Tate&loc_169682=&page_169682=1&size_169682=25&loc_169683=&page_169683=1&size_169683=25&loc_169684=&page_169684=1&size_169684=25&loc_169685=&page_169685=1&size_169685=25&page_169688=1&size_169688=25

https://x.com/dren_braves/status/1816118654897111535?t=2yqL4RuYuZs6hg90pxTIKA&s=19"
22,1:51:20.00,11,Kacper Suchora,M,POL,17/03/2024,X Bieg Zielonych Sznurowadea,https://sts-timing.pl/event/x-jubileuszowy-bieg-zielonych-sznurowadel-2024-2/#tabs-24367
23,1:51:26.00,11,Jonathan Austin,M,USA,11/11/2023,"Richmond Half Marathon, VA",https://runsignup.com/Race/Results/53399/IndividualResult/bfNJ?resultSetId=425038#U82282467
24,1:53:11.00,5,Toon Witters,M,BEL,16/06/2023,"Nacht Van Vlaanderen Half Marathon, Belgium",https://www.strava.com/activities/9278465811 https://www.focus-wtv.be/nieuws/toon-loopt-halve-marathon-op-blote-voeten-en-al-jonglerend
25,1:55:31.00,0,Ketan Abhonkar,M,IND,01/12/2024,Pune International Marathon,https://racetecresults.com/myresults.aspx?CId=19898&RId=3266&EId=3&AId=510100
26,1:56:33.00,0,Brady Xue,M,USA,23/11/2024,BU Turkey Trot,https://www.strava.com/activities/12966514397
27,1:56:38.00,0,Levent Denizci,M,TUR,2018,Giresun Half Marathon,
28,1:56:52.00,0,Barak Hirschowitz,M,USA,17/11/2024,"St. Pete Half Marathon, Florida","https://photos.raceroster.com/en-US/galleries/cm3jk5yg501s912oeg9ox4njh/search/Barak/photos/cm3mhuwud017d0fk7bjuoc5f9?tags=Barak      
https://my.raceresult.com/308470/results#3_021567"
29,1:58:13.00,0,Kevin Williams,M,GBR,16/10/2016,Great Birmingham Run,https://www.jogglathon.co.uk/   https://www.greatrun.org/results/585/18760/
30,2:04:03.00,0,Steve Portwine,M,GBR,22/05/2011,Edinburgh Half Marathon,https://www.podiumrunner.com/events/the-tale-of-the-scottish-joggler/  https://www.getreading.co.uk/news/local-news/woodley-man-steve-portwine-juggle-4214204
31,2:06:35.00,0,Scott Gorman,M,USA,02/06/2018,Grand Teton Half Marathon,https://www.facebook.com/photo/?fbid=10102571142247321&set=a.682390132741  https://runsignup.com/Race/Results/36796#resultSetId-118559;perpage:100
32,2:11:16.00,0,Pete Barnard,M,GBR,06/10/2019,Bridlington Half Marathon,https://www.sportstimingsolutions.co.uk/rcd_mobile.php?id=355&bib=114
33,2:12:42.00,0,Riley McLincha,M,USA,27/04/2003,West Bloomfield 1/2 Marathon,https://www.athlinks.com/event/38318/results/Event/12960/Course/19137/Entry/8202460
34,2:14:57.00,0,Peter Meyer,M,DEU,07/04/2019,Bonn Half Marathon,50% 4 balls
35,2:16:56.00,0,Terry Odom,M,USA,17/03/2018,"Wrightsville Beach Half Marathon, North Carolina",clubs http://roguerunners.org/WBhalfmarathon18.htm    https://www.wect.com/story/37755742/nc-man-completes-wrightsville-beach-half-marathon-while-juggling/
36,2:25:15.00,0,David Quint,M,USA,25/04/2015,"St. Jude Country Music Half Marathon, Nashville TN","https://b5.caspio.com/dp/07f73000ef783b24a2834080a6c2      
    https://eu.tennessean.com/story/sports/2015/02/28/running-juggler-plans-return-half-marathon/24206411/"
37,2:34:05.00,0,Jesse Joyner,M,USA,2008,"McDonalds Half Marathon (Richmond, VA)",https://www.trackshackresults.com/richmond/results/2008/hm_results.php?Link=22&Type=3&LName=Joyner&FName=Jesse&City=&State=&Country=
