Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:05:40.00,670,Gabrielle Foran,F,CAN,30/07/2016,"IJA, El Paso, Texas",IJA Database
2,0:05:58.00,574,Emily Beaver,F,USA,15/05/2013,Time Trial,https://missouristatebears.com/news/2013/5/15/Emily_Beaver_Sets_World_Record_for_Joggling https://www.guinnessworldrecords.com/world-records/fastest-mile-joggling-with-three-objects-women
3,0:06:17.00,480,Kathy Glynn,F,USA,22/07/1989,"IJA, Baltimore",http://www.juggling.org/orgs/ija/champs.txt
4,0:06:43.40,363,Christa Rypins,F,USA,21/07/1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
5,0:06:47.00,348,Heather Marriott,F,USA,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
6,0:06:49.28,339,Lana Bolin,F,USA,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
7,0:07:35.00,182,Marion Caldwell,F,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
8,0:07:57.00,123,Julia Snyder,F,Unknown,15/07/1998,"IJA, Primm",IJA Database
9,0:08:00.00,116,Karly Swaim,F,USA,16/03/2024,Time Trial,
10,0:08:10.89,92,Ingrid Vukusic,F,Unknown,19/07/2025,"IJA, Evansville",IJA Database
11,0:08:14.00,86,Mary Holgin,F,Unknown,15/07/1998,"IJA, Primm",IJA Database
12,0:08:44.60,35,Kay Caskey,F,Unknown,21/07/1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
13,0:08:57.00,21,Becky Provance,F,Unknown,19/07/1995,"IJA, Las Vegas",https://dev.juggle.org/history/champs/champs1995.php
14,0:09:10.00,10,Laura Provance,F,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
15,0:09:22.00,3,Laurie Young,F,Unknown,19/07/1995,"IJA, Las Vegas",https://dev.juggle.org/history/champs/champs1995.php
16,0:09:35.00,0,Kaylyn Schull,F,Unknown,2024,"IJA, Virtual",IJA Database
17,0:09:40.00,0,Tina Fraser,F,Unknown,16/07/1988,"IJA, Denver",http://www.juggling.org/orgs/ija/champs.txt
18,0:10:03.00,0,Sarah Breckenridge,F,Unknown,16/07/1988,"IJA, Denver",http://www.juggling.org/orgs/ija/champs.txt
19,0:10:45.40,0,Marla Edgecomb,F,USA,2020,"IJA, Virtual",IJA Database
20,0:10:56.56,0,Andrea Goranson,F,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
21,0:11:11.52,0,Zoe Prawda,F,USA,19/07/2025,"IJA, Evansville",IJA Database
22,0:11:15.00,0,Carol Mills,F,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
