Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:18:12.00,820,Gabrielle Foran,F,CAN,05/07/2015,Guelph 5km,https://sites.google.com/site/guelph5kjoggling/results
2,0:20:10.00,640,Trish Evans,F,USA,23/06/2012,"Fishers Freedom 5km, Indiana",https://www.onlineraceresults.com/race/view_race.php?race_id=25925&num=15&split=TIME&submit_action=Refresh+Leaders#racetop
3,0:20:40.00,597,Dana Giuglielmo,F,USA,06/04/2014,"CoDependency 5k, Cooper River Park",https://tomahawktiming.com/road-races/2014-season/46-codependency-5k-cooper-river/  https://medium.com/the-moorestown-sun/dana-guglielmo-breaks-guinness-world-record-for-joggling-8f1a107d5774
4,0:22:48.00,432,Summer Cooper,F,USA,21/07/2024,"Parade 5000 Road Run, Indiana",https://runsignup.com/Race/Results/21507/?resultSetId=473898#resultSetId-473898;perpage:100       https://x.com/TimYoder24/status/1815089986099986624?t=NH7L7hCXvvbrsSzivo68Yw&s=19
5,0:23:45.00,368,Heather Marriott,F,USA,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
6,0:24:37.00,313,Katie Burgess,F,Unknown,15/07/2017,"IJA, Cedar Rapids",https://www.juggle.org/enewsletter/2017-07
7,0:24:42.00,308,Morgan Anderson,F,Unknown,2018,Guelph 5km,https://sites.google.com/site/guelph5kjoggling/results
8,0:25:56.00,239,Meggie Mariah,F,Unknown,15/07/2024,"IJA, Green Bay",IJA Database
9,0:26:57.00,188,Marion Caldwell,F,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
9,0:26:57.00,188,Kay Caskey,F,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
11,0:27:39.00,157,Karly Swaim,F,USA,01/05/2024,"Sandy Hook Lighthouse 5k, New Jersey",https://runsignup.com/Race/Results/32546/IndividualResult/HhNT?resultSetId=453827#U87313877
12,0:27:41.00,155,Ingrid Vukusic,F,Unknown,15/07/2025,"IJA, Evansville",IJA Database
13,0:27:42.04,154,Laurie Young,F,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
14,0:28:25.00,126,Megan McDougall,F,AUS,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
15,0:28:48.00,111,Natalie McIntyre,F,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
16,0:28:51.00,110,Ruth Gioru,F,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
17,0:28:53.00,108,Franziska Engler,F,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
18,0:29:14.00,96,Friederike Kraaz,F,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
19,0:29:15.00,96,Narelle Cabassi,F,AUS,02/12/2023,Robelle Domain Parkrun,https://www.instagram.com/p/C0VFX0GPdy6/?img_index=1 https://www.parkrun.com.au/robelledomain/results/62
20,0:30:20.00,63,EJ Coldham,F,GBR,19/12/2020,5km Joggling Challenge,https://www.strava.com/activities/4491314701/overview
21,0:30:23.00,61,Juliane de Vries,F,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
22,0:30:45.00,52,Greta Vollmar,F,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
23,0:31:05.20,44,Bekah Smith,F,USA,09/11/2013,Anthem 5km,https://www.broomfieldenterprise.com/2013/11/11/jogglers-hit-broomfield-trails-to-set-world-record/  https://www.webscorer.com/racedetails?raceid=15527  https://recordsetter.com/world-record/people-running-5k-race-while-juggling/33978?autoplay=false
24,0:32:10.00,23,Mary Geeves,F,Unknown,15/07/2017,"IJA, Cedar Rapids",https://www.juggle.org/enewsletter/2017-07
25,0:32:48.00,14,Roni Lynn,F,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
26,0:35:22.00,0,Heather Thompson,F,USA,14/01/2024,"Shark Bite 5km, Florida",https://runsignup.com/Race/Results/24835/IndividualResult/gtCh?resultSetId=433509#U55948253  https://www.instagram.com/p/C2FbTLSOmTN/
27,0:35:30.00,0,Nati Tuppen,F,GBR,14/08/2021,Eastville Parkrun,https://www.parkrun.org.uk/eastville/news/2021/08/14/course-record-falls-and-joggling-comes-to-eastville-park/   https://www.parkrun.org.uk/eastville/results/121/
28,0:35:49.00,0,Dorothy Finnigan,F,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
29,0:35:54.00,0,Yvonne Burchartz,F,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
30,0:36:26.00,0,Liya Bakhrakh,F,ISR,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
31,0:37:08.00,0,Anna Sophia Martin,F,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
32,0:37:28.00,0,Katerina Matubra,F,CZE,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
33,0:38:06.00,0,Corinna,F,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
34,0:39:23.40,0,JoAnn Ireland,F,USA,2023,"IJA, Virtual",IJA Database
35,0:40:29.00,0,Saskia Bershinski,F,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
36,0:40:51.00,0,Romana Brosch,F,AUT,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
