Rank,IAAF Points,Distance,Finish Time,Joggler,Gender,Nationality,Date,Drops,Notes / Result Links
1,820,3b 5km,0:18:12.00,Gabrielle Foran,F,CAN,05/07/2015,?,https://sites.google.com/site/guelph5kjoggling/results
2,694,3b 100m,0:00:11.68,Owen Morse,M,USA,1989,0,https://www.guinnessworldrecords.com/world-records/fastest-100m-joggling-with-three-objects-men
3,680,3b 10km,0:33:34.00,Henry Wellenstein,M,USA,05/11/2022,?,https://www.strava.com/activities/8074621672
4,670,3b Mile,0:04:36.80,Caleb Williams,M,USA,14/08/2023,?,"IJA Database, https://www.youtube.com/watch?v=ubG4stsEwPw"
5,658,3b 1000m,0:02:41.67,Jannik Weiss,M,DEU,01/08/2018,0,https://www.youtube.com/watch?v=gI1bCx23-cc
6,642,3b 10km,0:42:58.00,Trish Evans,F,USA,12/11/2011,?,http://www.recordholders.org/en/list/joggling.html
7,621,3b Half Marathon,1:35:03.00,Dana Giuglielmo,F,USA,16/11/2013,?,https://www.huffpost.com/entry/the-invention-of-joggling_b_6512928  https://www.albanyrunningexchange.org/results/search.php?ID=3667
8,620,3b Mile,0:04:42.00,Will Howard,M,USA,01/02/2003,?,http://www.atlantajugglers.org/aja-media/articles-by-our-members/86-joggling-world-record
9,613,3b 100m,0:00:12.00,Albert Lucas,M,USA,16/07/1988,?,http://www.juggling.org/orgs/ija/champs.txt
10,611,3b Mile,0:04:43.00,Zach Prescott,M,USA,08/05/2018,?,https://www.runnersworld.com/runners-stories/a20732918/joggler-sets-a-world-record-in-the-mile/
11,604,3b Mile,0:04:43.80,Kirk Swenson,M,USA,26/07/1986,1,http://www.juggling.org/orgs/ija/champs.txt http://www.juggling.org/jw/86/3/joggling.html
12,595,3b 10km,0:34:47.00,Michael-Lucien Bergeron,M,CAN,10/07/2022,?,IJA Database
13,581,3b Half Marathon,1:17:11.00,Graydon Snider,M,CAN,21/10/2018,?,https://runningmagazine.ca/sections/runs-races/bergeron-breaks-half-marathon-joggling-record/
14,574,3b Mile,0:05:58.00,Emily Beaver,F,USA,15/05/2013,?,https://missouristatebears.com/news/2013/5/15/Emily_Beaver_Sets_World_Record_for_Joggling https://www.guinnessworldrecords.com/world-records/fastest-mile-joggling-with-three-objects-women
15,559,3b 100m,0:00:14.48,Hayley Fix,F,0,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
16,554,3b Marathon,2:50:12.00,Michal Kapral,M,CAN,30/09/2007,2,
17,552,3b 5km,0:16:34.00,Bob Evans,M,USA,23/06/2012,?,https://www.onlineraceresults.com/race/view_race.php?race_id=25925&num=15&split=TIME&submit_action=Refresh+Leaders#racetop
18,549,3b 400m,0:00:55.80,Eric Walter,M,0,20/07/2013,?,IJA Database
19,536,3b 400m,0:00:56.06,Franz Roos,M,CHE,11/09/1997,0,https://www.youtube.com/watch?v=igd6zcLXXAU
20,532,3b 10km,0:35:45.00,Mike Hebebrand,M,USA,1990,?,From Email exchange with Mike (April 2023)
21,529,3b Marathon,2:52:15.00,Zach Warren,M,USA,19/11/2006,?,
21,529,3b Half Marathon,1:19:00.00,Michel Lauzière,M,CAN,1982,?,Email exchange
23,528,3b 400m,0:00:56.23,David Ferman,M,USA,05/05/2011,0,https://www.youtube.com/watch?v=YhcXu01bUzE
24,524,3b Marathon,2:52:39.00,Jean-Marc Doiron,M,CAN,12/05/2024,?,https://results.raceroster.com/v2/en-CA/results/mgba2wayykp2qux2/results  https://www.instagram.com/p/C64QdY6uqnH/
25,514,3b 10km,0:36:02.00,Chris Edwin,M,GBR,2022,0,
26,499,3b 5km,0:16:56.00,John Baker,M,USA,28/07/2022,?,https://www.instagram.com/p/CgiOHBcBGU6/
27,490,3b 100m,0:00:14.96,Lana Bolin,F,0,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
29,480,3b Mile,0:06:17.00,Kathy Glynn,F,0,22/07/1989,?,http://www.juggling.org/orgs/ija/champs.txt
29,480,3b 5km,0:17:04.00,Simon Hodge,M,CAN,29/08/2008,5,https://thejoggler.blogspot.com/2008/08/canadian-running-magazine-5k-joggle-off.html
29,480,3b Mile,0:04:58.00,Samuel Dean,M,USA,14/08/2023,?,https://www.strava.com/activities/9648987682
31,478,3b 5km,0:17:05.00,Travis Saunders,M,CAN,29/04/2007,?,https://thejoggler.blogspot.com/2007/05/saunders-just-misses-5k-joggling-record.html
32,471,3b 5km,0:17:08.00,Tyler Wishau,M,USA,2007,0,https://thejoggler.blogspot.com/2007/12/best-joggles-of-2007.html
33,469,3b 800m,0:02:47.40,Grace Boatman,F,0,20/07/2011,?,IJA Database
34,449,3b 100m,0:00:12.72,Chris Essick,M,0,17/07/2002,?,https://dev.juggle.org/history/champs/champs2002.php
35,432,3b 5km,0:22:48.00,Summer Cooper,F,USA,21/07/2024,0,https://runsignup.com/Race/Results/21507/?resultSetId=473898#resultSetId-473898;perpage:100       https://x.com/TimYoder24/status/1815089986099986624?t=NH7L7hCXvvbrsSzivo68Yw&s=19
36,427,3b 800m,0:02:15.50,Tristan Heinicke,M,USA,20/05/2024,1,https://www.strava.com/activities/11460278327
37,416,3b Mile,0:05:06.00,Banks Helfrich,M,0,20/07/1985,?,http://www.juggling.org/orgs/ija/champs.txt
37,416,3b Mile,0:05:06.00,Charlie Freeman,M,USA,22/08/2020,1,https://www.tiktok.com/@cfreeman77/video/6863613020333985029
39,409,3b Mile,0:05:06.95,Jim Piaskowy,M,0,21/07/1984,?,http://www.juggling.org/orgs/ija/champs.txt
40,404,3b Marathon,4:02:30.00,Sarah Szefi,F,USA,07/10/2018,?,https://chicago-history.r.mikatiming.com/2021/?pid=search
41,392,3b 100m,0:00:13.00,Jerome Ellis,M,0,26/07/1986,?,http://www.juggling.org/orgs/ija/champs.txt
42,390,3b 3km,0:10:21.00,Scott Jenkins,M,GBR,26/05/2023,0,https://www.strava.com/activities/9143369867
43,387,3b 400m,0:01:16.00,Christa Rypins,F,0,21/07/1990,?,http://www.juggling.org/orgs/ija/champs.txt
44,386,3b 5km,0:17:47.00,Aaron Scott,M,USA,03/04/2020,1,https://www.youtube.com/watch?v=NYNBRc9AKHE
