Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:00:30.99,0,JoAnn Ireland,F,USA,22/07/2023,"IJA, Southbend",IJA Database
2,0:00:31.62,0,Heather Marriott,F,USA,22/07/2023,"IJA, Southbend",IJA Database
3,0:00:31.92,0,Kayla Malmgren,F,Unknown,19/07/2025,"IJA, Evansville",IJA Database
4,0:00:48.52,0,Balabushkina Anastasia,F,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
5,0:00:53.44,0,Elizabeth Sychugova,F,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
6,0:00:56.50,0,Deulina Kristina,F,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
6,0:00:56.50,0,Raskostova Kristina,F,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
8,0:01:01.32,0,Ingrid Vukusic,F,Unknown,19/07/2025,"IJA, Evansville",IJA Database
9,0:01:07.20,0,Becky Kresser,F,Unknown,22/07/2023,"IJA, Southbend",IJA Database
10,0:01:07.28,0,Zoe Prawda,F,USA,19/07/2025,"IJA, Evansville",IJA Database
11,0:01:12.00,0,Kharchenko Elizaveta,F,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
12,0:01:20.40,0,Kaylin Meyers,F,USA,22/07/2023,"IJA, Southbend",IJA Database
13,0:01:23.80,0,Kaylyn Schull,F,Unknown,22/07/2023,"IJA, Southbend",IJA Database
14,0:01:45.67,0,Prokhorova Angelina,F,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
15,0:03:33.82,0,Kovalenko Ekaterina,F,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
16,0:03:35.59,0,Perevalova Tatyana,F,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
