Ranking,Finish Time,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:00:55.82,"Chris Lovdal, Eric Walter, Tyler Wishau, Charles Schweitzer",M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
2,0:00:58.00,"Albert Lucas, Nicolas Souren, Jason Matkowski, Chris Lovdal",M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
3,0:00:58.15,"Matt Diffee, Trey Newsom, Jamie Whoolery, Chris Essick",M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
4,0:00:58.80,"Sean Carney, Chris Lovdal, Daniel Burke, Joey Spicola",M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
5,0:00:59.80,"Albert Lucas, Sam Hartford, Jamie Whoolery, Chris Essick",M,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
5,0:00:59.80,"David Mlakar, Dylan Waickman, Tim Hark, Tyler Wishau",M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
7,0:01:02.20,"Joe Gould, Jack Levy, David Mlakar, Joey Spicola",M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
8,0:01:02.40,"Nicholas Thomas, Ben Thompson, Jason Hollandsworth, Mark Fiore",M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
9,0:01:03.00,"Len Ferman, David Ferman, Tyler Wishau, Ben Fry",M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
10,0:01:04.00,"Eric Gunther, Daniel Raum, Ben Fry, Michael Bergeron",M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
11,0:01:04.20,"Gus Tate, Jesse Joyner, Matt Baum, Andrew Ruiz",M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
12,0:01:04.70,"Peter Prokop, Scott Geyman, Jared Janssen, Nathan Lane",M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
13,0:01:06.00,"Chris Essick, Perry Romanowski, Jason Hollandsworth, Len Ferman",M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
14,0:01:06.20,"Garrett Borawski, Ben Fry, Peter Holmquist, Bryan Harris",M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
15,0:01:06.30,"Thomas Dietz, Eric Walter, Daniel Raum, Christoph Mitasch",M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
16,0:01:06.60,"Kevin Giblin, Chris Dokler, Chuck Ritzler, Dylan Waickman",M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
17,0:01:07.00,"Jeremy Stanley,Tim Hark, Cartier, Ron Zeszut",M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
18,0:01:08.00,"F Kennard, Ben Oldenburg, K Beargie, Dan Tasse",M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
19,0:01:08.09,"Marlin Ballard, Mike Draney, Jon Poppele, Ben Schoenberg",M,Unknown,28/07/2001,"IJA, Wisconsin",https://dev.juggle.org/history/champs/champs2001.php
20,0:01:08.15,"Chris Edwin, Scott Jenkins, Dominic Lodge, Jake Lodge",M,GBR,21/04/2024,"British Joggler Meetup, Darlington",Manually recorded
21,0:01:09.17,"Rory Bade, Joey Spicola, Chris Lovdal, Silas Wallen-Friedman",M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
22,0:01:09.20,"Cole Dunbar, Max Schlech, Nick DeBoom, Chris van Hoomissen",M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
23,0:01:09.37,"Matt Gifford, Austin Bruckner, Jeremy Stanley, Kyler McClintock",M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
24,0:01:10.50,"Nicholas Thomas, Mark Furniss, Benjamin Thompson, Mark Fiore",M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
25,0:01:10.80,"Danny Rose, Colin Revere, Jack Levy, Ricky Harr",M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
26,0:01:11.20,"Mike Moore, Neil Jordaan, Jeff Lutkus, Nicolas Souren",M,Unknown,30/07/2016,"IJA, El Paso, Texas",IJA Database
